file_path,batter_id,year,chart_type,situation_code,pa_count,split
full_season/408234_2023.npy,408234,2023,full,full,263,test
full_season/444482_2023.npy,444482,2023,full,full,328,train
full_season/446334_2023.npy,446334,2023,full,full,141,val
full_season/453568_2023.npy,453568,2023,full,full,308,train
full_season/455117_2023.npy,455117,2023,full,full,235,train
full_season/456781_2023.npy,456781,2023,full,full,295,train
full_season/457705_2023.npy,457705,2023,full,full,294,train
full_season/457759_2023.npy,457759,2023,full,full,454,train
full_season/458015_2023.npy,458015,2023,full,full,146,val
full_season/462101_2023.npy,462101,2023,full,full,306,train
full_season/467793_2023.npy,467793,2023,full,full,450,train
full_season/474832_2023.npy,474832,2023,full,full,200,train
full_season/493329_2023.npy,493329,2023,full,full,258,train
full_season/500743_2023.npy,500743,2023,full,full,344,train
full_season/500871_2023.npy,500871,2023,full,full,213,train
full_season/502054_2023.npy,502054,2023,full,full,326,train
full_season/502110_2023.npy,502110,2023,full,full,292,train
full_season/502671_2023.npy,502671,2023,full,full,435,train
full_season/514888_2023.npy,514888,2023,full,full,290,train
full_season/516416_2023.npy,516416,2023,full,full,255,train
full_season/516782_2023.npy,516782,2023,full,full,248,train
full_season/518595_2023.npy,518595,2023,full,full,201,train
full_season/518626_2023.npy,518626,2023,full,full,117,train
full_season/518692_2023.npy,518692,2023,full,full,521,train
full_season/518735_2023.npy,518735,2023,full,full,279,test
full_season/518792_2023.npy,518792,2023,full,full,273,train
full_season/518934_2023.npy,518934,2023,full,full,374,val
full_season/519203_2023.npy,519203,2023,full,full,277,train
full_season/521692_2023.npy,521692,2023,full,full,411,train
full_season/527038_2023.npy,527038,2023,full,full,345,train
full_season/542194_2023.npy,542194,2023,full,full,228,train
full_season/542208_2023.npy,542208,2023,full,full,132,train
full_season/542303_2023.npy,542303,2023,full,full,397,train
full_season/542932_2023.npy,542932,2023,full,full,316,train
full_season/543063_2023.npy,543063,2023,full,full,207,train
full_season/543068_2023.npy,543068,2023,full,full,195,train
full_season/543228_2023.npy,543228,2023,full,full,308,train
full_season/543257_2023.npy,543257,2023,full,full,263,train
full_season/543305_2023.npy,543305,2023,full,full,201,train
full_season/543309_2023.npy,543309,2023,full,full,172,train
full_season/543510_2023.npy,543510,2023,full,full,155,train
full_season/543592_2023.npy,543592,2023,full,full,103,train
full_season/543685_2023.npy,543685,2023,full,full,125,train
full_season/543760_2023.npy,543760,2023,full,full,565,train
full_season/543807_2023.npy,543807,2023,full,full,490,train
full_season/543877_2023.npy,543877,2023,full,full,247,val
full_season/543939_2023.npy,543939,2023,full,full,174,val
full_season/545121_2023.npy,545121,2023,full,full,246,train
full_season/545341_2023.npy,545341,2023,full,full,340,train
full_season/545361_2023.npy,545361,2023,full,full,206,train
full_season/547180_2023.npy,547180,2023,full,full,342,val
full_season/547989_2023.npy,547989,2023,full,full,416,val
full_season/553869_2023.npy,553869,2023,full,full,371,train
full_season/553882_2023.npy,553882,2023,full,full,104,test
full_season/553993_2023.npy,553993,2023,full,full,395,train
full_season/570482_2023.npy,570482,2023,full,full,181,val
full_season/570731_2023.npy,570731,2023,full,full,101,train
full_season/571448_2023.npy,571448,2023,full,full,467,train
full_season/571657_2023.npy,571657,2023,full,full,252,val
full_season/571745_2023.npy,571745,2023,full,full,147,train
full_season/571771_2023.npy,571771,2023,full,full,374,train
full_season/571912_2023.npy,571912,2023,full,full,131,test
full_season/571970_2023.npy,571970,2023,full,full,335,train
full_season/572041_2023.npy,572041,2023,full,full,103,train
full_season/572191_2023.npy,572191,2023,full,full,227,test
full_season/572233_2023.npy,572233,2023,full,full,462,train
full_season/572761_2023.npy,572761,2023,full,full,126,train
full_season/572816_2023.npy,572816,2023,full,full,117,train
full_season/573262_2023.npy,573262,2023,full,full,234,test
full_season/575929_2023.npy,575929,2023,full,full,319,train
full_season/592178_2023.npy,592178,2023,full,full,232,train
full_season/592192_2023.npy,592192,2023,full,full,362,train
full_season/592206_2023.npy,592206,2023,full,full,447,train
full_season/592450_2023.npy,592450,2023,full,full,240,train
full_season/592518_2023.npy,592518,2023,full,full,440,train
full_season/592626_2023.npy,592626,2023,full,full,272,train
full_season/592663_2023.npy,592663,2023,full,full,356,train
full_season/592669_2023.npy,592669,2023,full,full,376,test
full_season/592696_2023.npy,592696,2023,full,full,359,train
full_season/592885_2023.npy,592885,2023,full,full,410,train
full_season/593160_2023.npy,593160,2023,full,full,452,test
full_season/593428_2023.npy,593428,2023,full,full,492,train
full_season/593871_2023.npy,593871,2023,full,full,217,train
full_season/594777_2023.npy,594777,2023,full,full,122,train
full_season/594807_2023.npy,594807,2023,full,full,214,train
full_season/595281_2023.npy,595281,2023,full,full,289,train
full_season/595453_2023.npy,595453,2023,full,full,102,val
full_season/595777_2023.npy,595777,2023,full,full,373,train
full_season/595879_2023.npy,595879,2023,full,full,388,train
full_season/595909_2023.npy,595909,2023,full,full,132,train
full_season/595978_2023.npy,595978,2023,full,full,151,train
full_season/596019_2023.npy,596019,2023,full,full,472,train
full_season/596059_2023.npy,596059,2023,full,full,101,train
full_season/596103_2023.npy,596103,2023,full,full,127,train
full_season/596115_2023.npy,596115,2023,full,full,103,train
full_season/596129_2023.npy,596129,2023,full,full,194,train
full_season/596142_2023.npy,596142,2023,full,full,175,train
full_season/596146_2023.npy,596146,2023,full,full,336,train
full_season/600869_2023.npy,600869,2023,full,full,382,train
full_season/602104_2023.npy,602104,2023,full,full,260,train
full_season/605113_2023.npy,605113,2023,full,full,146,train
full_season/605119_2023.npy,605119,2023,full,full,213,train
full_season/605131_2023.npy,605131,2023,full,full,138,train
full_season/605137_2023.npy,605137,2023,full,full,416,train
full_season/605141_2023.npy,605141,2023,full,full,482,train
full_season/605170_2023.npy,605170,2023,full,full,159,train
full_season/605204_2023.npy,605204,2023,full,full,334,train
full_season/605612_2023.npy,605612,2023,full,full,195,val
full_season/606115_2023.npy,606115,2023,full,full,389,train
full_season/606132_2023.npy,606132,2023,full,full,110,train
full_season/606192_2023.npy,606192,2023,full,full,421,train
full_season/606466_2023.npy,606466,2023,full,full,465,train
full_season/606992_2023.npy,606992,2023,full,full,195,train
full_season/607043_2023.npy,607043,2023,full,full,451,train
full_season/607054_2023.npy,607054,2023,full,full,278,train
full_season/607208_2023.npy,607208,2023,full,full,490,val
full_season/607680_2023.npy,607680,2023,full,full,150,train
full_season/607732_2023.npy,607732,2023,full,full,179,train
full_season/608070_2023.npy,608070,2023,full,full,544,test
full_season/608324_2023.npy,608324,2023,full,full,537,train
full_season/608336_2023.npy,608336,2023,full,full,139,train
full_season/608369_2023.npy,608369,2023,full,full,395,train
full_season/608385_2023.npy,608385,2023,full,full,116,train
full_season/608596_2023.npy,608596,2023,full,full,103,train
full_season/608671_2023.npy,608671,2023,full,full,208,train
full_season/608701_2023.npy,608701,2023,full,full,157,train
full_season/608841_2023.npy,608841,2023,full,full,484,train
full_season/621020_2023.npy,621020,2023,full,full,413,test
full_season/621028_2023.npy,621028,2023,full,full,198,train
full_season/621035_2023.npy,621035,2023,full,full,214,train
full_season/621043_2023.npy,621043,2023,full,full,386,train
full_season/621438_2023.npy,621438,2023,full,full,177,val
full_season/621439_2023.npy,621439,2023,full,full,198,test
full_season/621466_2023.npy,621466,2023,full,full,106,val
full_season/621493_2023.npy,621493,2023,full,full,282,train
full_season/621545_2023.npy,621545,2023,full,full,103,train
full_season/621550_2023.npy,621550,2023,full,full,159,train
full_season/621563_2023.npy,621563,2023,full,full,236,train
full_season/621566_2023.npy,621566,2023,full,full,443,test
full_season/622110_2023.npy,622110,2023,full,full,154,train
full_season/622534_2023.npy,622534,2023,full,full,257,val
full_season/622569_2023.npy,622569,2023,full,full,150,train
full_season/622761_2023.npy,622761,2023,full,full,244,train
full_season/623912_2023.npy,623912,2023,full,full,327,test
full_season/623993_2023.npy,623993,2023,full,full,443,train
full_season/624413_2023.npy,624413,2023,full,full,419,train
full_season/624414_2023.npy,624414,2023,full,full,153,train
full_season/624415_2023.npy,624415,2023,full,full,203,val
full_season/624424_2023.npy,624424,2023,full,full,304,val
full_season/624428_2023.npy,624428,2023,full,full,350,train
full_season/624431_2023.npy,624431,2023,full,full,136,val
full_season/624512_2023.npy,624512,2023,full,full,137,train
full_season/624585_2023.npy,624585,2023,full,full,367,test
full_season/624641_2023.npy,624641,2023,full,full,208,train
